rva	now_conf	parents_blocked	is_leaf	cyclic	subsystem	name
0057c210	C1	35	1	0	third-party-library[RenderWare-Physics-3.7]	FUN_0057c210
004e7e30	C1	33	0	0	third-party-library[renderware]	FUN_004e7e30
004c0b30	C1	30	0	0	third-party-library[renderware]	FUN_004c0b30
004e6e00	C1	30	0	0	third-party-library[renderware]	RpClumpDestroy
004c15c0	C1	22	1	0	third-party-library[renderware]	FUN_004c15c0
004e45b0	C1	15	0	0	third-party-library[renderware]	RwFrameRemoveChild
0055ac00	C1	15	1	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055ac00
004e4800	C1	15	1	0	third-party-library[renderware]	FUN_004e4800
004e69a0	C1	14	0	0	third-party-library[renderware]	FUN_004e69a0
004e6920	C1	12	0	0	third-party-library[renderware]	FUN_004e6920
004e6ab0	C1	10	0	0	third-party-library[renderware]	FUN_004e6ab0
0055c4a0	C1	9	0	0	third-party-library[RenderWare-Physics-3.7]	PhysicsBodySetRestitution
004e8090	C1	9	0	0	third-party-library[renderware]	FUN_004e8090
004c1040	C1	8	0	0	third-party-library[renderware]	FUN_004c1040
00538c80	C1	8	0	0	third-party-library[renderware]	FUN_00538c80
0055ad30	C1	8	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055ad30
00559c40	C1	8	0	0	third-party-library[RenderWare-Physics-3.7]	PhysicsSceneBodyRegister
0055dff0	C1	8	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055dff0
004e4450	C1	7	0	0	third-party-library[renderware]	RwFrameAddChild
0057c300	C1	7	0	0	third-party-library[RenderWare-Physics-3.7]	RWP37BodyCreate
0057c220	C1	7	0	0	third-party-library[RenderWare-Physics-3.7]	RWP37WorldSlotAssign
0057c500	C1	7	0	0	third-party-library[RenderWare-Physics-3.7]	RWP37WorldCreate
0055b940	C1	7	0	0	third-party-library[RenderWare-Physics-3.7]	PhysicsBodySetMass
0057c550	C1	7	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0057c550
0055b650	C1	6	1	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055b650
00535700	C1	6	0	0	third-party-library[renderware]	FUN_00535700
0053fbb0	C1	5	0	0	third-party-library[renderware]	FUN_0053fbb0
004e89a0	C1	5	0	0	third-party-library[renderware]	FUN_004e89a0
00559ee0	C1	5	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_00559ee0
004c1210	C1	5	0	0	third-party-library[renderware]	FUN_004c1210
0055ae70	C1	5	0	0	third-party-library[RenderWare-Physics-3.7]	PhysicsSceneBodySetShapeFlags
0055deb0	C1	5	1	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055deb0
004e4440	C1	5	1	0	third-party-library[renderware]	FUN_004e4440
004e43b0	C1	5	0	0	third-party-library[renderware]	FUN_004e43b0
00534b60	C1	5	0	0	third-party-library[renderware]	FUN_00534b60
004e4380	C1	5	0	0	third-party-library[renderware]	FUN_004e4380
004e8a10	C1	4	0	0	third-party-library[renderware]	FUN_004e8a10
00544bf0	C1	4	0	0	third-party-library[renderware]	FUN_00544bf0
004e6100	C1	4	0	0	third-party-library[renderware]	RpAtomicGetWorldBoundingSphere
004e5fc0	C1	4	1	0	third-party-library[renderware]	FUN_004e5fc0
0057c370	C1	4	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0057c370
005459c0	C1	4	0	0	third-party-library[renderware]	FUN_005459c0
0055ac50	C1	4	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055ac50
00535910	C1	4	1	0	third-party-library[renderware]	FUN_00535910
004e5c70	C1	4	0	0	third-party-library[renderware]	RpWorldForAllWorldSectors
0055ade0	C1	4	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055ade0
004e4900	C1	3	1	0	third-party-library[renderware]	FUN_004e4900
004e5700	C1	3	0	0	third-party-library[renderware]	RpWorldDestroy
004e7fa0	C1	3	0	0	third-party-library[renderware]	FUN_004e7fa0
004e8940	C1	3	0	0	third-party-library[renderware]	FUN_004e8940
004e8640	C1	3	0	0	third-party-library[renderware]	FUN_004e8640
004e8910	C1	3	1	0	third-party-library[renderware]	FUN_004e8910
004e8c70	C1	3	0	0	third-party-library[renderware]	FUN_004e8c70
004e8030	C1	3	0	0	third-party-library[renderware]	FUN_004e8030
004e68a0	C1	3	0	0	third-party-library[renderware]	FUN_004e68a0
004e6f80	C1	3	1	0	third-party-library[renderware]	FUN_004e6f80
004e8ea0	C1	3	0	0	third-party-library[renderware]	FUN_004e8ea0
004e67b0	C1	3	0	0	third-party-library[renderware]	RpAtomicCreate
00532a60	C1	3	1	0	third-party-library[renderware]	FUN_00532a60
0053d090	C1	3	1	0	third-party-library[renderware]	FUN_0053d090
004e5660	C1	3	0	0	third-party-library[renderware]	RwEngineForAllPlugins
005356f0	C1	3	0	0	third-party-library[renderware]	FUN_005356f0
00534870	C1	3	1	0	third-party-library[renderware]	FUN_00534870
005493d0	C1	3	1	0	third-party-library[renderware]	FUN_005493d0
00562560	C1	3	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_00562560
0057c420	C1	3	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0057c420
0055ab30	C1	3	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055ab30
0055bab0	C1	3	1	0	third-party-library[RenderWare-Physics-3.7]	PhysicsBodySetDamping
00550740	C1	3	1	0	third-party-library[renderware]	FUN_00550740
00550a20	C1	3	0	0	third-party-library[renderware]	FUN_00550a20
004e4dd0	C1	2	0	0	third-party-library[renderware]	RpLightCreate
004e4810	C1	2	0	0	third-party-library[renderware]	RpWorldAddLight
004e4860	C1	2	0	0	third-party-library[renderware]	RpWorldRemoveLight
004e6d80	C1	2	0	0	third-party-library[renderware]	FUN_004e6d80
0053fd30	C1	2	0	0	third-party-library[renderware]	FUN_0053fd30
0053fb70	C1	2	0	0	third-party-library[renderware]	FUN_0053fb70
00544ad0	C1	2	0	0	third-party-library[renderware]	FUN_00544ad0
005449f0	C1	2	0	0	third-party-library[renderware]	FUN_005449f0
00543d70	C1	2	1	0	third-party-library[renderware]	FUN_00543d70
00544a70	C1	2	1	0	third-party-library[renderware]	FUN_00544a70
0055c540	C1	2	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055c540
00553e80	C1	2	0	0	third-party-library[renderware]	FUN_00553e80
0055e300	C1	2	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055e300
00547230	C1	2	1	0	third-party-library[renderware]	FUN_00547230
00557ec0	C1	2	0	0	third-party-library[renderware]	FUN_00557ec0
00558030	C1	2	0	0	third-party-library[renderware]	FUN_00558030
0055bde0	C1	2	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055bde0
0055bb70	C1	2	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055bb70
00546320	C1	2	0	0	third-party-library[renderware]	FUN_00546320
00546380	C1	2	0	0	third-party-library[renderware]	FUN_00546380
00551190	C1	2	0	0	third-party-library[renderware]	FUN_00551190
0055afc0	C1	2	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055afc0
004e5840	C1	2	1	0	third-party-library[renderware]	FUN_004e5840
004e5820	C1	2	1	0	third-party-library[renderware]	FUN_004e5820
004eb3c0	C1	2	1	0	third-party-library[renderware]	FUN_004eb3c0
004eb9d0	C1	2	1	0	third-party-library[renderware]	FUN_004eb9d0
005507b0	C1	2	0	0	third-party-library[renderware]	VFS_Open
004e1ce0	C1	2	0	0	third-party-library[renderware]	FUN_004e1ce0
004e1b60	C1	2	0	0	third-party-library[renderware]	FUN_004e1b60
004ddcb0	C1	2	1	0	third-party-library[renderware]	FUN_004ddcb0
004e1780	C1	2	0	0	third-party-library[renderware]	FUN_004e1780
00551510	C1	2	0	0	third-party-library[renderware]	FUN_00551510
00551410	C1	2	0	0	third-party-library[renderware]	FUN_00551410
00551460	C1	2	0	0	third-party-library[renderware]	FUN_00551460
00564190	C1	2	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_00564190
004e48e0	C1	1	0	0	third-party-library[renderware]	FUN_004e48e0
004e5850	C1	1	0	0	third-party-library[renderware]	RpWorldCreate
004e4b90	C1	1	1	0	third-party-library[renderware]	RpLightSetConeAngle
004e4d90	C1	1	0	0	third-party-library[renderware]	FUN_004e4d90
005592f0	C1	1	1	0	third-party-library[RenderWare-Physics-3.7]	FUN_005592f0
0053d060	C1	1	0	0	third-party-library[renderware]	FUN_0053d060
0053fba0	C1	1	1	0	third-party-library[renderware]	FUN_0053fba0
0053fea0	C1	1	1	0	third-party-library[renderware]	FUN_0053fea0
00540100	C1	1	1	0	third-party-library[renderware]	FUN_00540100
00540080	C1	1	0	0	third-party-library[renderware]	FUN_00540080
00540160	C1	1	1	0	third-party-library[renderware]	FUN_00540160
0053d400	C1	1	0	0	third-party-library[renderware]	FUN_0053d400
00543b90	C1	1	0	0	third-party-library[renderware]	FUN_00543b90
00543e10	C1	1	1	0	third-party-library[renderware]	FUN_00543e10
00552920	C1	1	0	0	third-party-library[renderware]	FUN_00552920
00553ef0	C1	1	0	0	third-party-library[renderware]	FUN_00553ef0
00553cf0	C1	1	0	0	third-party-library[renderware]	FUN_00553cf0
00558df0	C1	1	0	0	third-party-library[renderware]	FUN_00558df0
005586f0	C1	1	0	0	third-party-library[renderware]	FUN_005586f0
00545d30	C1	1	0	0	third-party-library[renderware]	FUN_00545d30
00557fb0	C1	1	0	0	third-party-library[renderware]	FUN_00557fb0
004e89e0	C1	1	0	0	third-party-library[renderware]	FUN_004e89e0
004e7d40	C1	1	0	0	third-party-library[renderware]	RpAtomicRegisterPlugin
00552020	C1	1	1	0	third-party-library[renderware]	FUN_00552020
005492a0	C1	1	1	0	third-party-library[renderware]	FUN_005492a0
005495b0	C1	1	0	0	third-party-library[renderware]	FUN_005495b0
004e7420	C1	1	0	0	third-party-library[renderware]	RpClumpStreamRead
00558d30	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_00558d30
00543dc0	C1	1	1	0	third-party-library[renderware]	FUN_00543dc0
00543da0	C1	1	0	0	third-party-library[renderware]	FUN_00543da0
00543e30	C1	1	1	0	third-party-library[renderware]	FUN_00543e30
00559040	C1	1	1	0	third-party-library[RenderWare-Physics-3.7]	FUN_00559040
00538a80	C1	1	1	0	third-party-library[renderware]	FUN_00538a80
00558ca0	C1	1	1	0	third-party-library[RenderWare-Physics-3.7]	FUN_00558ca0
004e6650	C1	1	1	0	third-party-library[renderware]	FUN_004e6650
0055ae50	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055ae50
0055e200	C1	1	1	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055e200
0055fea0	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055fea0
00561e60	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_00561e60
00561040	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_00561040
00561e80	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_00561e80
0055fe50	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055fe50
0055ff70	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055ff70
0055ff90	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055ff90
00561390	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_00561390
00561c50	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_00561c50
00562460	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_00562460
0055dd60	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055dd60
00562580	C1	1	1	0	third-party-library[RenderWare-Physics-3.7]	FUN_00562580
00562520	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_00562520
005625e0	C1	1	1	0	third-party-library[RenderWare-Physics-3.7]	FUN_005625e0
0055af40	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055af40
0055dc70	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055dc70
0057c4b0	C1	1	1	0	third-party-library[qhull-2002.1]	FUN_0057c4b0
00561ea0	C1	1	1	0	third-party-library[RenderWare-Physics-3.7]	FUN_00561ea0
0055ad20	C1	1	1	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055ad20
0055fe40	C1	1	1	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055fe40
00562600	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_00562600
0055bac0	C1	1	1	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055bac0
0055fe10	C1	1	1	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055fe10
0055fe30	C1	1	1	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055fe30
0055c490	C1	1	1	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055c490
0055ddd0	C1	1	1	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055ddd0
0055e440	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055e440
00562fd0	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_00562fd0
0055bd80	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055bd80
0055c000	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055c000
0057ca30	C1	1	0	0	third-party-library[qhull-2002.1]	FUN_0057ca30
00563810	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_00563810
0055de20	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055de20
0055af80	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055af80
00538600	C1	1	0	0	third-party-library[renderware]	FUN_00538600
0053eaa0	C1	1	0	0	third-party-library[renderware]	FUN_0053eaa0
00534a80	C1	1	0	0	third-party-library[renderware]	FUN_00534a80
00544d20	C1	1	0	0	third-party-library[renderware]	FUN_00544d20
00549640	C1	1	0	0	third-party-library[renderware]	FUN_00549640
005578a0	C1	1	0	0	third-party-library[renderware]	FUN_005578a0
005515a0	C1	1	0	0	third-party-library[renderware]	FUN_005515a0
0052d8e0	C1	1	0	0	third-party-library[renderware]	FUN_0052d8e0
00561ee0	C1	1	0	0	third-party-library[renderware]	FUN_00561ee0
004e5d30	C1	1	0	0	third-party-library[renderware]	FUN_004e5d30
00543e50	C1	1	0	0	third-party-library[renderware]	FUN_00543e50
0053d0b0	C1	1	0	0	third-party-library[renderware]	FUN_0053d0b0
00546530	C1	1	0	0	third-party-library[renderware]	FUN_00546530
005336d0	C1	1	0	0	third-party-library[renderware]	FUN_005336d0
0052e310	C1	1	0	0	third-party-library[renderware]	FUN_0052e310
0057c270	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0057c270
005584c0	C1	1	0	0	third-party-library[renderware]	FUN_005584c0
00550350	C1	1	0	0	third-party-library[renderware]	FUN_00550350
004e6760	C1	1	0	0	third-party-library[renderware]	RpClumpForAllLights
00549610	C1	1	1	0	third-party-library[renderware]	FUN_00549610
00549620	C1	1	0	0	third-party-library[renderware]	FUN_00549620
004e5c30	C1	1	0	0	third-party-library[renderware]	RpWorldForAllAtomics
004e5bf0	C1	1	0	0	third-party-library[renderware]	FUN_004e5bf0
0052e0e0	C1	1	0	0	third-party-library[renderware]	FUN_0052e0e0
00533ec0	C1	1	0	0	third-party-library[renderware]	FUN_00533ec0
00532b80	C1	1	0	0	third-party-library[renderware]	FUN_00532b80
0053c5d0	C1	1	0	0	third-party-library[renderware]	FUN_0053c5d0
00543d40	C1	1	1	0	third-party-library[renderware]	FUN_00543d40
00543df0	C1	1	1	0	third-party-library[renderware]	FUN_00543df0
005504d0	C1	1	0	0	third-party-library[renderware]	FUN_005504d0
00551330	C1	1	0	0	third-party-library[renderware]	FUN_00551330
005507a0	C1	1	1	0	third-party-library[renderware]	FUN_005507a0
004dc8e0	C1	1	0	0	third-party-library[renderware]	FUN_004dc8e0
004e08b0	C1	1	0	0	third-party-library[renderware]	FUN_004e08b0
004e14a0	C1	1	0	0	third-party-library[renderware]	FUN_004e14a0
004e12b0	C1	1	0	0	third-party-library[renderware]	FUN_004e12b0
004e1a90	C1	1	1	0	third-party-library[renderware]	FUN_004e1a90
004e1ac0	C1	1	1	0	third-party-library[renderware]	FUN_004e1ac0
004e1d20	C1	1	0	0	third-party-library[renderware]	FUN_004e1d20
004df120	C1	1	0	0	third-party-library[renderware]	FUN_004df120
004de1b0	C1	1	0	0	third-party-library[renderware]	FUN_004de1b0
004e17e0	C1	1	0	0	third-party-library[renderware]	FUN_004e17e0
004e1e70	C1	1	0	0	third-party-library[renderware]	FUN_004e1e70
004e1710	C1	1	0	0	third-party-library[renderware]	FUN_004e1710
004e2030	C1	1	0	0	third-party-library[renderware]	FUN_004e2030
004e2090	C1	1	0	0	third-party-library[renderware]	FUN_004e2090
004e2fa0	C1	1	1	0	third-party-library[renderware]	FUN_004e2fa0
004e2ff0	C1	1	1	0	third-party-library[renderware]	FUN_004e2ff0
004dee40	C1	1	0	0	third-party-library[renderware]	FUN_004dee40
00551550	C1	1	0	0	third-party-library[renderware]	FUN_00551550
00558400	C1	1	1	0	third-party-library[renderware]	FUN_00558400
00558180	C1	1	1	0	third-party-library[renderware]	FUN_00558180
0055c380	C1	1	1	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055c380
0055df90	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055df90
0055b060	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055b060
0055b930	C1	1	0	0	third-party-library[RenderWare-Physics-3.7]	FUN_0055b930
00550670	C1	1	0	0	third-party-library[renderware]	FUN_00550670
00550bd0	C1	1	0	0	third-party-library[renderware]	FUN_00550bd0
