component	n_members	subsystems	member_rvas
0	372	gameplay:60,render:52,util:47	00401000 004011f0 004013f0 004014b0 004019d0 004030d0 00403250 004039f0 00403fa0 004041c0 004046a0 00404fa0 00405460 00405780 00405920 00405ab0 00405f60 00406160 004064c0 004069d0 00406ae0 00406ce0 00407550 00408610 00408b00 004093b0 0040b180 0040b540 0040be50 0040c5b0 0040c690 0040ca00 0040d040 0040d110 0040d270 0040d440 0040d590 0040d8f0 0040da50 0040ddb0 0040e590 0040fc00 004102f0 004103a0 00410860 00410b30 00411350 004113b0 00411870 00411ae0 00411ce0 00411d90 00412190 00412620 00412cf0 00412e30 00412f30 00413a00 00413cb0 00414060 00414180 00414220 00414570 004148b0 00414a70 00414c30 00414f00 004150e0 00415220 00415880 00415e20 00416060 00416250 00416a30 00417180 00417370 004173b0 004173e0 00417640 004177b0 00417cf0 00417da0 00418560 004197e0 0041a1e0 0041a250 0041af50 0041b450 0041b4d0 0041b540 0041b660 0041bec0 0041bf20 0041c090 0041c0e0 0041c380 0041d6e0 0041d730 0041d830 0041d870 0041d890 0041db90 0041dca0 0041f3d0 0041f4f0 0041f590 0041f770 00420290 004210b0 00421160 004212b0 004215a0 00421d20 00422570 00422ba0 004233e0 00424eb0 004252c0 00425a40 00425d50 00426700 00426780 004273e0 00427620 00427680 004278d0 00427990 00427be0 00427ca0 00427e00 00427f00 00427ff0 00428140 00429310 00429660 004298e0 00429e10 0042ad10 0042bcb0 0042c010 0042c220 0042c510 0042c7c0 0042c960 0042f8d0 00430670 00431240 004314b0 00431710 00431b80 00431d00 004322c0 00432450 004324a0 004332a0 004335f0 00433f40 00434720 004368e0 0043a610 0043aa30 0043af10 0043d2a0 0043d7c0 0043df00 0043dfd0 004414b0 00441700 00441760 00441820 00441990 00441d40 00442a60 00442ce0 00442e00 00443210 00443300 00443440 00443d10 00443dc0 00444b60 00445aa0 00446520 00448220 00448730 00448770 00448880 00448cb0 00448e20 0044bfa0 0044c920 00453100 004538b0 00454350 00454cd0 00455030 00455150 00455610 004556f0 004568d0 00456eb0 00457100 00457610 00457c10 00458080 00458a40 00459290 004593b0 00459400 00459480 00459620 0045a190 0045a950 0045ae80 0045b390 0045bba0 0045c6b0 0045cb20 0045cbe0 0045cc80 0045cfe0 0045d080 0045d0e0 0045d1e0 0045d7a0 0045dc80 0045e460 0045e990 0045efe0 0045f5f0 0045faa0 0045ff50 00460270 00460350 00460df0 00461650 00462dd0 00462ec0 004633d0 00463c80 00463f40 004642f0 00464670 004648b0 00464ca0 00464e10 004652b0 004656e0 00465940 00465a30 00465b20 00465ca0 00466000 00466100 004661f0 004669b0 00467350 00467650 00468d80 004694e0 00469aa0 00469df0 0046bf50 0046bfc0 0046c7d0 0046cb30 0046cc40 0046d400 0046d570 0046d880 0046da80 0046dc20 0046e9e0 0046ef70 0046f6c0 004709a0 00470c70 00471780 00472b10 00472dc0 00473220 004733b0 004739f0 00473c20 004744a0 00474890 004752f0 00476df0 004770c0 004783f0 0047d080 0047d3c0 0047d640 0047def0 0047ea60 0047eb30 0047f290 0047f380 0047f840 0047f940 0047fad0 0047fc40 0047fe00 0047ff70 00480100 00480340 00480720 004809e0 00480b70 004818d0 00481a30 00482030 00482930 00482ae0 00482c10 004858c0 00485ef0 004862d0 00486350 00486460 00486830 00486f50 00487280 004880a0 004881d0 00488320 004883b0 00488e70 00489500 00489a40 00489ce0 00489dc0 0048a130 0048a3c0 0048a430 0048a850 0048b230 0048b960 0048cf70 0048cf90 0048e5f0 0048e7b0 0048eac0 0048ebf0 0048f290 0048f740 0048f9f0 0048fb10 0048fd70 0048fdd0 00490500 00491b20 00491c00 00491f00 00492170 004921b0 004927c0 00493390 004943f0 00495350 00496530 00546e70 00555280 00555360 00555af0 00555ff0 005a6f30 005a71f0 005a73b0 005a75b0 005aed20 005bc190
1	50	render:50	00499d90 004c79f0 004c7a20 004c8690 004c8740 004c8800 004c8c70 004c90a0 004c9ad0 004c9cd0 004c9f60 004c9fb0 004caea0 004cafd0 004cb070 004cb0b0 004cb0f0 004cb130 004cb190 004cb2c0 004cb330 004cb490 004cb4c0 004cb600 004cb8a0 004cba80 004cbad0 004cfa00 004cfe40 004d07b0 004d0d00 004d1d70 004d1e30 004d2980 004d2c80 004d2e30 004d3510 004d38b0 004d38f0 004d3950 004d39b0 004d3a10 004d3a60 004d3ab0 004d3b00 004d55b0 004d5bc0 004d6200 004d6ce0 004d6e70
2	27	particle:22,audio:4,save:1	0049c900 0049c930 0049c990 0049ca00 0049ca60 0049cb20 0049cbd0 0049cc40 0049ccd0 0049cd70 0049ce10 0049d920 0049d960 0049d9a0 0049da20 0049db00 0049df70 0049e4b0 0049e6c0 0049ea70 0049ff30 0049ff60 00550910 005bedc0 005bf8a0 005bfe60 005bfed0
3	23	audio:23	005a8060 005a8390 005a8560 005a86a0 005a8750 005a8890 005a89d0 005ab560 005ab620 005ab710 005b2820 005b29e0 005b2b00 005b30e0 005b3300 005b8090 005b8130 005b81d0 005bb000 005bcca0 005bcd10 005bcda0 005be450
4	11	track:10,vehicle:1	0047a020 0047a1e0 0047a280 0047a320 0047a3a0 0047a4a0 0047a540 0047a610 0047a6b0 0047a8b0 0047aa50
5	10	render:6,track:2,util:1	00402b70 00426030 004260e0 00426340 004264d0 00426640 00426ab0 00426b40 00426e10 004270f0
6	10	render:10	00490e70 00490f50 00490f80 00490fb0 00491030 004910c0 00491340 004914b0 00491530 00491590
7	10	render:7,util:3	004b6710 004b6770 004b67a0 004b67e0 004b68f0 004b6940 004b6b20 00550c50 00550da0 00550f20
8	9	gameplay:6,render:2,vehicle:1	00418db0 00418e30 004194f0 00419530 004196f0 00419760 00419fd0 0041a060 0041a180
9	9	audio:8,render:1	0045d460 0045dd60 0045e040 004625b0 004627f0 00462950 004631f0 00466a50 005a7b60
10	8	render:3,boot:2,gameplay:2	0041eaa0 0041ebb0 0041ec00 0041f8f0 0041ffb0 00420050 00420420 00420870
11	7	video:2,frontend:2,util:2	004942b0 00494320 00494460 004944c0 00494a80 00494bc0 00494c80
12	6	render:5,util:1	004759b0 00475a00 00475ab0 00475c10 00475d30 00475d90
13	6	render:5,util:1	00475e50 00475ea0 00475ef0 00475f90 00476390 00476440
14	6	render:5,util:1	004775b0 00477730 00477760 004777d0 00477810 00477870
15	6	particle:6	0048ae00 0048af70 0048b650 0048b7c0 0048baf0 0048bb70
16	6	util:3,render:2,particle:1	00493c00 00493c60 00494ac0 00494b20 0049ebc0 0049ec10
17	6	frontend:4,input:2	00497470 004974b0 00497b10 00497b60 004982a0 00498510
18	6	render:4,save:1,boot:1	00498b60 00498c00 00498e40 00498ea0 00499400 00499ba0
19	6	audio:6	005ac650 005acda0 005ace70 005b51d0 005b53b0 005bc920
20	5	boot:2,render:1,util:1	0041c410 0041cb10 0041cb80 0041cc50 0041ccf0
21	5	render:3,util:2	004219c0 004219f0 004220d0 00422140 004222d0
22	5	gameplay:2,vehicle:2,powerups:1	004540c0 00454790 00454820 004548a0 004548e0
23	5	powerups:3,boot:1,vehicle:1	0045b930 0045bae0 0045be90 0045bed0 0045bf30
24	5	render:5	004cdca0 004cdd00 004cdf20 004ce970 004cee90
25	5	render:5	004db3e0 004db550 004db770 004dcaa0 004dcdc0
26	4	gameplay:2,render:1,util:1	00406130 004072e0 004073b0 004074a0
27	4	frontend:2,gameplay:1,boot:1	00407800 00425bc0 00425c00 00425ea0
28	4	boot:2,render:1,util:1	0040bbb0 0040bd00 0040bde0 0040ce00
29	4	gameplay:3,util:1	00458b10 00458bf0 00458c70 00459000
30	4	gameplay:1,ai:1,camera:1	00471430 004715a0 00471ac0 00471df0
31	4	camera:3,track:1	0047c0f0 0047c160 0047c270 0047c2d0
32	3	render:2,boot:1	004034a0 00403660 00403910
33	3	gameplay:3	004098d0 00409950 00409970
34	3	boot:2,hud:1	0041def0 0041e0d0 0041e6c0
35	3	boot:2,frontend:1	004283a0 00428400 004288a0
36	3	gameplay:2,vehicle:1	00456040 00456760 004568a0
37	3	gameplay:2,camera:1	00471450 00471490 00471ec0
38	3	render:3	00476650 00476710 004767c0
39	3	world-objects:2,util:1	00484cf0 00484de0 00485070
40	3	particle:3	00485e10 00486220 00486270
41	3	particle:1,render:1,util:1	0048ff20 00490020 00490380
42	3	input:3	00495e80 00495fe0 00496010
43	3	render:3	004c3040 004c30b0 004c32b0
44	3	render:3	004c5a00 004c5a60 004c6ba0
45	3	render:3	004cc820 004cce20 004ccf20
46	3	render:3	004d4250 004d42b0 004d4380
47	3	render:3	004d7c60 004d7ca0 004d7de0
48	3	render:3	004d9050 004da4f0 004daa40
49	3	audio:3	005a5f00 005a6030 005a60e0
