pc_va,signal,matched,matched_callers,total_callers,tokens,name,subsystem,confidence
0x004ae29f,platform-api,0,3,6,.dll,___crtInitCritSecAndSpinCount,boot,C2
0x004ac45c,platform-api,0,1,2,.dll,___crtMessageBoxA,boot,C2
0x004944c0,platform-api,0,0,1,directshow,FUN_004944c0,util,C2
0x00494820,platform-api,0,0,0,d3dx,FUN_00494820,render,C2
0x00499ba0,platform-api,0,0,1,d3d9,sub_00499ba0,boot,C2
0x004a31b1,platform-api,0,0,2,.dll,CrtExitProcess_j5,boot,C3
0x0042b8c0,recall-gap,0,21,35,,ScreenHeightGet,hud,C3
0x004522d0,recall-gap,0,21,38,,FUN_004522d0,audio,C2
0x0042b8b0,recall-gap,0,20,32,,ScreenWidthGet,hud,C3
0x004c3ac0,recall-gap,0,20,60,,Vec3Magnitude,util,C4
0x005172b0,recall-gap,0,19,22,,FUN_005172b0,util,C2
0x00517380,recall-gap,0,19,22,,FUN_00517380,util,C2
0x0042a5d0,recall-gap,0,17,20,,FUN_0042a5d0,render,C2
0x004cc230,recall-gap,0,16,25,,FUN_004cc230,frontend,C2
0x0040e350,recall-gap,0,15,51,,GetRenderSubMode,ai,C3
0x005aea00,recall-gap,0,15,25,,FUN_005aea00,audio,C2
0x004c0e50,recall-gap,0,14,35,,FUN_004c0e50,render,C2
0x004c51a0,recall-gap,0,14,51,,RwMatrixTranslate,render,C2
0x004c4d20,recall-gap,0,13,29,,RwMatrix_SetRotAxisAngle,render,C2
0x0040bb30,recall-gap,0,12,22,,FUN_0040bb30,boot,C2
0x0040bb50,recall-gap,0,12,15,,FUN_0040bb50,frontend,C3
0x0046d4a0,recall-gap,0,12,48,,FUN_0046d4a0,ai,C2
0x004c1340,recall-gap,0,12,36,,FUN_004c1340,render,C2
0x004c3df0,recall-gap,0,11,16,,FUN_004c3df0,ai,C2
0x005232c0,recall-gap,0,11,11,,FUN_005232c0,util,C2
0x0045e0f0,recall-gap,0,10,39,,FUN_0045e0f0,audio,C2
0x004c3b30,recall-gap,0,10,29,,FastSqrt,util,C4
0x0042f500,recall-gap,0,9,34,,GetDat0067ea64,util,C4
0x00473870,recall-gap,0,9,11,,TextSpriteUVExplicit,frontend,C3
0x004a460d,recall-gap,0,9,44,,_free,boot,C2
0x004c1480,recall-gap,0,9,43,,FUN_004c1480,render,C2
0x00495280,recall-gap,0,8,10,,OpenPizFile,util,C2
0x004952f0,recall-gap,0,8,11,,ClosePizFile,util,C2
0x00408a50,recall-gap,0,7,14,,FUN_00408a50,frontend,C3
0x004769f0,recall-gap,0,7,32,,ParticleEmitter_SetColour,render,C3
0x00476d00,recall-gap,0,7,32,,FUN_00476d00,render,C2
0x004a3384,recall-gap,0,7,18,,CRT::acos,util,C2
0x004a77eb,recall-gap,0,7,25,,FUN_004a77eb,boot,C2
0x004cc9e0,recall-gap,0,7,7,,thunk_FUN_004cc820,render,C2
0x0040b6d0,recall-gap,0,6,11,,FUN_0040b6d0,util,C3
0x0040e340,recall-gap,0,6,27,,GetLiveCarCount,util,C4
0x0040e470,recall-gap,0,6,29,,CarSlotStateGet,frontend,C3
0x00427780,recall-gap,0,6,12,,FontText_StringTableLookup,hud,C4
0x0046c7b0,recall-gap,0,6,26,,VehicleSlotGetter,vehicle,C3
0x0046cc10,recall-gap,0,6,10,,FUN_0046cc10,ai,C2
0x004987b0,recall-gap,0,6,26,,FUN_004987b0,input,C2
0x005c29cb,recall-gap,0,6,6,,_clock,boot,C2
0x0040e370,recall-gap,0,5,15,,FUN_0040e370,util,C3
0x004769a0,recall-gap,0,5,26,,ParticleEmitter_SetPosition,render,C3
0x004769d0,recall-gap,0,5,25,,ParticleEmitter_SetVelocity,render,C3
0x00476a30,recall-gap,0,5,19,,ParticleEmitter_SetScalar,render,C3
0x004a332b,recall-gap,0,5,11,,CrtExitNoReturn_j5,boot,C3
0x004a9410,recall-gap,0,5,22,,_strlen,boot,C2
0x00556e90,recall-gap,0,5,10,,FUN_00556e90,render,C2
0x005c1dac,recall-gap,0,5,8,,__ftol,boot,C2
0x0040bb90,recall-gap,0,4,5,,SpriteLookupTableB,frontend,C4
0x0041f290,recall-gap,0,4,9,,FUN_0041f290,gameplay,C2
0x004260b0,recall-gap,0,4,4,,GetDat0065743c,frontend,C3
0x0042a530,recall-gap,0,4,7,,FUN_0042a530,render,C2
0x0046cb30,recall-gap,0,4,8,,Player::GetOffset3D,util,C2
0x0046cbb0,recall-gap,0,4,17,,FUN_0046cbb0,vehicle,C2
0x0046d6d0,recall-gap,0,4,13,,FUN_0046d6d0,ai,C2
0x00476cb0,recall-gap,0,4,10,,FUN_00476cb0,vehicle,C2
0x004ac560,recall-gap,0,4,15,,FUN_004ac560,boot,C2
0x004c3d90,recall-gap,0,4,22,,FUN_004c3d90,render,C2
0x004c5010,recall-gap,0,4,16,,RwMatrixScale,render,C4
0x004c5a60,recall-gap,0,4,17,,FUN_004c5a60,render,C2
0x00523170,recall-gap,0,4,4,,FUN_00523170,util,C2
0x005ad6a0,recall-gap,0,4,4,,FUN_005ad6a0,audio,C2
0x005c2435,recall-gap,0,4,4,,FID_conflict:__time32,boot,C2
0x0040b420,recall-gap,0,3,3,,IndexedTableLookup,gameplay,C3
0x0040b810,recall-gap,0,3,3,,TimerGlobalsReset,frontend,C3
0x0040b890,recall-gap,0,3,6,,FUN_0040b890,gameplay,C3
0x00417730,recall-gap,0,3,9,,VehicleRaceAngleGet,vehicle,C3
0x00422b30,recall-gap,0,3,3,,TimerArrayClear,frontend,C3
0x00422fd0,recall-gap,0,3,6,,FrontendRaceResultsDispatch,frontend,C3
0x0042b930,recall-gap,0,3,10,,MenuAlphaGet,frontend,C4
0x0042f510,recall-gap,0,3,6,,Vehicle0HandleGet,render,C3
0x00454170,recall-gap,0,3,4,,FUN_00454170,gameplay,C2
0x00476860,recall-gap,0,3,7,,FUN_00476860,render,C2
0x004a42c5,recall-gap,0,3,5,,FUN_004a42c5,render,C2
0x004c5c00,recall-gap,0,3,10,,FUN_004c5c00,frontend,C2
0x004d4380,recall-gap,0,3,9,,FUN_004d4380,render,C2
0x004d4dd0,recall-gap,0,3,9,,FUN_004d4dd0,render,C2
0x004d4f90,recall-gap,0,3,9,,FUN_004d4f90,render,C2
0x0051ca90,recall-gap,0,3,3,,FUN_0051ca90,util,C2
0x00555f20,recall-gap,0,3,3,,FontCtx_BuildExtTable,hud,C2
0x00556ca0,recall-gap,0,3,4,,FUN_00556ca0,hud,C2
0x00407a20,recall-gap,0,2,3,,FUN_00407a20,gameplay,C2
0x00408ad0,recall-gap,0,2,9,,RaceScoreFloatGetBySlot,frontend,C3
0x00409330,recall-gap,0,2,3,,FUN_00409330,gameplay,C3
0x0040ad20,recall-gap,0,2,3,,FrontendGlobalGet,frontend,C4
0x0040b460,recall-gap,0,2,2,,MenuMenusBD,frontend,C3
0x0040b540,recall-gap,0,2,5,,FUN_0040b540,util,C2
0x0040b6b0,recall-gap,0,2,2,,ModeScoreGetBySlot,frontend,C3
0x0040b6c0,recall-gap,0,2,2,,FrontendArrayGet,frontend,C4
0x0040e180,recall-gap,0,2,7,,FUN_0040e180,vehicle,C2
0x0040e360,recall-gap,0,2,4,,RaceMode::Set,util,C3
0x0040e480,recall-gap,0,2,7,,CarSlotStateSet,frontend,C3
0x00413c70,recall-gap,0,2,5,,FUN_00413c70,vehicle,C2
0x00413f90,recall-gap,0,2,3,,TimerGetBasePtr,util,C4
0x00414120,recall-gap,0,2,2,,CopyTable005f2a70To0089a384,frontend,C3
0x00418a30,recall-gap,0,2,3,,FUN_00418a30,vehicle,C2
0x0041ef60,recall-gap,0,2,2,,Player::WriteFieldZero,util,C2
0x0041f360,recall-gap,0,2,2,,FUN_0041f360,gameplay,C2
0x00420290,recall-gap,0,2,2,,FUN_00420290,gameplay,C2
0x004215c0,recall-gap,0,2,3,,FUN_004215c0,frontend,C2
0x00423b40,recall-gap,0,2,3,,PlayerScoreAccA,frontend,C3
0x00423b60,recall-gap,0,2,3,,PlayerScoreAccB,frontend,C3
0x00423b80,recall-gap,0,2,3,,PlayerScoreAccC,frontend,C3
0x00423ba0,recall-gap,0,2,3,,PlayerScoreAccD,frontend,C3
0x00423bc0,recall-gap,0,2,3,,PlayerScoreTeamAccC,frontend,C3
0x00423cc0,recall-gap,0,2,3,,PlayerScoreTeamAccGatedB,frontend,C3
0x00423dd0,recall-gap,0,2,3,,PlayerScoreTeamAccGatedC,frontend,C3
0x00423e60,recall-gap,0,2,3,,PlayerScoreTeamAccCumB,frontend,C3
0x00423f60,recall-gap,0,2,3,,PlayerBlock2Field04Get,frontend,C3
0x00424070,recall-gap,0,2,3,,PlayerBlock2Field08Get,frontend,C3
0x004260a0,recall-gap,0,2,2,,GetDat00657438,frontend,C3
0x00426cf0,recall-gap,0,2,5,,GetDat0066d6e4,frontend,C3
0x00429870,recall-gap,0,2,2,,LapTimeALessThanB,frontend,C3
0x00429a70,recall-gap,0,2,4,,LapFracGetBySlot,frontend,C3
0x00429a80,recall-gap,0,2,4,,LapLapsGetBySlot,frontend,C3
0x00429a90,recall-gap,0,2,4,,LapSecsGetBySlot,frontend,C3
0x00429aa0,recall-gap,0,2,2,,GameStateSlotsFill,util,C4
0x0042aad0,recall-gap,0,2,2,,MenuDimSet,frontend,C4
0x0042ae10,recall-gap,0,2,2,,MenuReadinessCheckA,frontend,C4
0x0042aeb0,recall-gap,0,2,2,,MenuReadinessCheckB,frontend,C3
0x0042af50,recall-gap,0,2,2,,MenuReadinessCheckC,frontend,C3
0x0042b950,recall-gap,0,2,4,,FUN_0042b950,util,C2
0x0042e590,recall-gap,0,2,3,,SpriteAnimFrameThunk,frontend,C4
0x00430b30,recall-gap,0,2,2,,FUN_00430b30,frontend,C2
0x00441760,recall-gap,0,2,3,,Camera::Apply,util,C2
0x004417e0,recall-gap,0,2,12,,FUN_004417e0,util,C2
0x00442c80,recall-gap,0,2,2,,ModeGatedPlayerCheck,util,C4
0x00442cc0,recall-gap,0,2,6,,AiVehicleFloat4Get,ai,C3
0x00443080,recall-gap,0,2,10,,FUN_00443080,ai,C2
0x0046bda0,recall-gap,0,2,2,,FUN_0046bda0,gameplay,C2
0x0046c5f0,recall-gap,0,2,3,,FUN_0046c5f0,vehicle,C2
0x0046d320,recall-gap,0,2,2,,FUN_0046d320,gameplay,C2
0x0046d400,recall-gap,0,2,3,,FUN_0046d400,render,C2
0x0046d6a0,recall-gap,0,2,7,,FUN_0046d6a0,ai,C2
0x0046dc00,recall-gap,0,2,3,,EntityFieldSet,frontend,C3
0x00472640,recall-gap,0,2,3,,FUN_00472640,util,C2
0x00472690,recall-gap,0,2,6,,FUN_00472690,util,C2
0x004726f0,recall-gap,0,2,6,,FUN_004726f0,gameplay,C2
0x00472dc0,recall-gap,0,2,2,,FUN_00472dc0,frontend,C2
0x00474d60,recall-gap,0,2,12,,FUN_00474d60,vehicle,C2
0x00474db0,recall-gap,0,2,5,,FUN_00474db0,render,C2
0x00476880,recall-gap,0,2,6,,FUN_00476880,util,C2
0x00476a10,recall-gap,0,2,7,,FUN_00476a10,render,C2
0x00476a40,recall-gap,0,2,6,,ParticleEmitter_SetRGBA,render,C3
0x00476c10,recall-gap,0,2,4,,FUN_00476c10,vehicle,C2
0x004778e0,recall-gap,0,2,2,,FUN_004778e0,render,C2
0x0047b9b0,recall-gap,0,2,5,,FUN_0047b9b0,physics,C2
0x0047cdc0,recall-gap,0,2,3,,FUN_0047cdc0,render,C2
0x00486610,recall-gap,0,2,4,,FUN_00486610,particle,C2
0x004924c0,recall-gap,0,2,2,,FUN_004924c0,render,C2
0x004963e0,recall-gap,0,2,8,,ConfigLogError,save,C4
0x004a333c,recall-gap,0,2,4,,__exit,boot,C2
0x004a467e,recall-gap,0,2,8,,_calloc,boot,C2
0x004aaf90,recall-gap,0,2,8,,_memset,boot,C2
0x004b302f,recall-gap,0,2,8,,__stricmp,util,C2
0x004b71c0,recall-gap,0,2,2,,FUN_004b71c0,render,C2
0x004c1b10,recall-gap,0,2,8,,FUN_004c1b10,render,C2
0x004c4600,recall-gap,0,2,13,,RwMatrixMultiply,render,C2
0x004c52f0,recall-gap,0,2,12,,RwMatrixCombine,render,C2
0x004c57a0,recall-gap,0,2,7,,FontCtxMatrix_AllocInit,hud,C2
0x004c5890,recall-gap,0,2,3,,RwTexDictionaryCreate,render,C2
0x004c5930,recall-gap,0,2,16,,sub_004c5930,boot,C2
0x004c5ca0,recall-gap,0,2,5,,FUN_004c5ca0,render,C2
0x0051e990,recall-gap,0,2,2,,FUN_0051e990,util,C2
0x0051ead0,recall-gap,0,2,2,,FUN_0051ead0,util,C2
0x005278a0,recall-gap,0,2,2,,FUN_005278a0,util,C2
0x00527c30,recall-gap,0,2,2,,FUN_00527c30,util,C2
0x0052bff0,recall-gap,0,2,2,,inflate_table,util,C2
0x005a7b60,recall-gap,0,2,2,,FUN_005a7b60,audio,C2
0x005ad570,recall-gap,0,2,7,,FUN_005ad570,audio,C2
0x005b36f0,recall-gap,0,2,2,,FUN_005b36f0,audio,C2
0x004073b0,recall-gap,0,1,3,,FUN_004073b0,util,C2
0x004074a0,recall-gap,0,1,3,,FUN_004074a0,gameplay,C2
0x00407600,recall-gap,0,1,2,,Player::GetPositionPtr,util,C2
0x00407a40,recall-gap,0,1,4,,FUN_00407a40,ai,C2
0x00408a70,recall-gap,0,1,3,,FrontendC2RoundI,frontend,C3
0x00408af0,recall-gap,0,1,5,,AiVehicleFieldPtrGet,ai,C3
0x00408b00,recall-gap,0,1,4,,FUN_00408b00,util,C2
0x004099a0,recall-gap,0,1,2,,Save::AutosaveTrigger,save,C4
0x0040b290,recall-gap,0,1,3,,FUN_0040b290,frontend,C2
0x0040bb70,recall-gap,0,1,2,,SpriteLookupTableA,frontend,C4
0x0040ce80,recall-gap,0,1,3,,FUN_0040ce80,gameplay,C2
0x0040dc80,recall-gap,0,1,4,,UtilFloat63b910Get,util,C3
0x0040e170,recall-gap,0,1,2,,FUN_0040e170,util,C2
0x0040e3a0,recall-gap,0,1,2,,PlayerColorTableGet,frontend,C2
0x0040e4a0,recall-gap,0,1,3,,FUN_0040e4a0,ai,C2
0x0040e4b0,recall-gap,0,1,3,,Race::GetSoleFinishedPlayer,util,C2
0x004111c0,recall-gap,0,1,2,,FUN_004111c0,util,C2
0x004173a0,recall-gap,0,1,4,,FUN_004173a0,gameplay,C2
0x00418de0,recall-gap,0,1,3,,FUN_00418de0,vehicle,C2
0x0041eda0,recall-gap,0,1,4,,SlotBitSet,util,C3
0x0041ede0,recall-gap,0,1,3,,FUN_0041ede0,util,C2
0x0041efc0,recall-gap,0,1,2,,Car::GetLapProgress,util,C2
0x0041f030,recall-gap,0,1,7,,FUN_0041f030,ai,C2
0x0041f120,recall-gap,0,1,2,,Player::ComputeVehicleToCameraVec,util,C2
0x0041f1c0,recall-gap,0,1,4,,GetEventFlag,util,C3
0x0041f1e0,recall-gap,0,1,4,,FUN_0041f1e0,util,C2
0x00420d80,recall-gap,0,1,2,,FUN_00420d80,gameplay,C2
0x00426060,recall-gap,0,1,6,,TrackPhysWorld1Get,render,C3
0x004260c0,recall-gap,0,1,2,,TrackPhysWorld3Get,render,C3
0x00426cc0,recall-gap,0,1,6,,VehicleTable4cPtrGet,vehicle,C3
0x00427840,recall-gap,0,1,3,,FontText_UTF16WidenCopy,hud,C4
0x00428320,recall-gap,0,1,3,,FUN_00428320,frontend,C3
0x004292c0,recall-gap,0,1,6,,sub_004292c0,util,C3
0x004292d0,recall-gap,0,1,6,,sub_004292d0,util,C2
0x00429620,recall-gap,0,1,2,,FUN_00429620,hud,C2
0x00429840,recall-gap,0,1,3,,RaceStateLatchSet,ai,C3
0x0042aa00,recall-gap,0,1,2,,FUN_0042aa00,frontend,C3
0x0042bcb0,recall-gap,0,1,3,,FUN_0042bcb0,frontend,C2
0x0042c220,recall-gap,0,1,3,,FUN_0042c220,util,C2
0x0042c7c0,recall-gap,0,1,2,,FUN_0042c7c0,util,C2
0x0042fe30,recall-gap,0,1,3,,RaceEndFlagIfEndMode,frontend,C4
0x00430790,recall-gap,0,1,7,,GetDat0067f17c,util,C3
0x004307a0,recall-gap,0,1,2,,ElapsedVsThresholdCheck,frontend,C3
0x00430b90,recall-gap,0,1,2,,FUN_00430b90,frontend,C3
0x00431d70,recall-gap,0,1,3,,Course::GetLeaderIndex,util,C3
0x00431d80,recall-gap,0,1,2,,TiebreakFlagGet,frontend,C3
0x00441700,recall-gap,0,1,4,,Camera::SetupFOV,util,C2
0x00441c80,recall-gap,0,1,2,,FUN_00441c80,util,C2
0x004430a0,recall-gap,0,1,2,,Util897fe0Set,util,C3
0x004430e0,recall-gap,0,1,2,,FUN_004430e0,render,C2
0x00452140,recall-gap,0,1,2,,FUN_00452140,gameplay,C2
0x004548a0,recall-gap,0,1,2,,FUN_004548a0,vehicle,C2
0x00456140,recall-gap,0,1,2,,FUN_00456140,gameplay,C2
0x00458d00,recall-gap,0,1,2,,FUN_00458d00,gameplay,C2
0x00458dd0,recall-gap,0,1,2,,FUN_00458dd0,gameplay,C2
0x00458e00,recall-gap,0,1,2,,FUN_00458e00,gameplay,C2
0x0045ba00,recall-gap,0,1,5,,RaceResultIndexedStore,frontend,C3
0x0045ba10,recall-gap,0,1,4,,FUN_0045ba10,vehicle,C2
0x00461e90,recall-gap,0,1,2,,FUN_00461e90,gameplay,C3
0x00465940,recall-gap,0,1,2,,FUN_00465940,audio,C2
0x00465ca0,recall-gap,0,1,4,,FUN_00465ca0,audio,C2
0x0046d2e0,recall-gap,0,1,4,,FUN_0046d2e0,gameplay,C2
0x0046d510,recall-gap,0,1,13,,FUN_0046d510,ai,C2
0x0046d570,recall-gap,0,1,3,,FUN_0046d570,ai,C2
0x0046d660,recall-gap,0,1,4,,FUN_0046d660,gameplay,C2
0x00471ac0,recall-gap,0,1,2,,FUN_00471ac0,camera,C2
0x00472740,recall-gap,0,1,2,,FUN_00472740,gameplay,C2
0x00473220,recall-gap,0,1,2,,FUN_00473220,render,C2
0x00474de0,recall-gap,0,1,7,,FUN_00474de0,render,C2
0x00476ae0,recall-gap,0,1,3,,FUN_00476ae0,render,C2
0x00476be0,recall-gap,0,1,2,,FUN_00476be0,render,C2
0x004773f0,recall-gap,0,1,3,,FUN_004773f0,render,C2
0x00477760,recall-gap,0,1,4,,FUN_00477760,render,C2
0x00477e60,recall-gap,0,1,2,,FUN_00477e60,render,C2
0x00477f50,recall-gap,0,1,3,,FUN_00477f50,render,C2
0x00478110,recall-gap,0,1,2,,FUN_00478110,render,C2
0x004781b0,recall-gap,0,1,4,,FUN_004781b0,vehicle,C2
0x0047ce00,recall-gap,0,1,2,,FUN_0047ce00,gameplay,C2
0x0047ce40,recall-gap,0,1,2,,FUN_0047ce40,physics,C2
0x0047ce80,recall-gap,0,1,2,,FUN_0047ce80,gameplay,C2
0x0047d080,recall-gap,0,1,9,,FUN_0047d080,physics,C2
0x0047d100,recall-gap,0,1,6,,FUN_0047d100,physics,C2
0x0047d130,recall-gap,0,1,6,,FUN_0047d130,gameplay,C2
0x00481750,recall-gap,0,1,4,,FUN_00481750,vehicle,C2
0x00482900,recall-gap,0,1,3,,FUN_00482900,vehicle,C2
0x00486460,recall-gap,0,1,4,,FUN_00486460,particle,C2
0x004892c0,recall-gap,0,1,2,,FUN_004892c0,particle,C2
0x004893a0,recall-gap,0,1,2,,FUN_004893a0,gameplay,C2
0x0048a4e0,recall-gap,0,1,2,,FUN_0048a4e0,particle,C2
0x0048ebc0,recall-gap,0,1,2,,FUN_0048ebc0,render,C2
0x00492d10,recall-gap,0,1,13,,FUN_00492d10,util,C2
0x00494ef0,recall-gap,0,1,3,,ThunkVideoStateGet,boot,C4
0x00494f20,recall-gap,0,1,2,,thunk_FUN_00494460,boot,C2
0x00496900,recall-gap,0,1,4,,thunk_FUN_00497450,vehicle,C2
0x00498bc0,recall-gap,0,1,4,,VideoGetRenderWidth,render,C4
0x00498bd0,recall-gap,0,1,4,,VideoGetRenderHeight,render,C4
0x004aaff0,recall-gap,0,1,6,,_memcpy,boot,C2
0x004ab8d6,recall-gap,0,1,4,,FUN_004ab8d6,boot,C2
0x004aba4d,recall-gap,0,1,2,,__FF_MSGBANNER,boot,C2
0x004ac570,recall-gap,0,1,4,,FUN_004ac570,boot,C2
0x004b7be0,recall-gap,0,1,3,,FUN_004b7be0,input,C2
0x004c1a70,recall-gap,0,1,5,,FUN_004c1a70,render,C2
0x004c2ed0,recall-gap,0,1,5,,RwEngineGetModeInfo,render,C3
0x004c2f00,recall-gap,0,1,5,,RwEngineGetCurrentMode,render,C4
0x004c3910,recall-gap,0,1,3,,FUN_004c3910,render,C2
0x004c3b90,recall-gap,0,1,21,,FastInvSqrt,util,C4
0x004c3bf0,recall-gap,0,1,5,,Vec2Length,render,C4
0x004c3c60,recall-gap,0,1,3,,Vec2Normalize,render,C4
0x004c3d60,recall-gap,0,1,5,,FUN_004c3d60,render,C2
0x004c3dc0,recall-gap,0,1,3,,FUN_004c3dc0,render,C2
0x004c4670,recall-gap,0,1,5,,thunk_FUN_004c4680,render,C2
0x004c4eb0,recall-gap,0,1,2,,RwMatrixInvert_CofactorPath,render,C2
0x004c7600,recall-gap,0,1,5,,FUN_004c7600,render,C2
0x004c7620,recall-gap,0,1,2,,FUN_004c7620,render,C2
0x004c76c0,recall-gap,0,1,2,,FUN_004c76c0,render,C2
0x004c7760,recall-gap,0,1,2,,FUN_004c7760,render,C2
0x004c7860,recall-gap,0,1,5,,FUN_004c7860,render,C2
0x004cb130,recall-gap,0,1,3,,FUN_004cb130,render,C2
0x004cb330,recall-gap,0,1,4,,FUN_004cb330,render,C2
0x004cbb50,recall-gap,0,1,3,,FUN_004cbb50,render,C2
0x004cc7f0,recall-gap,0,1,11,,FUN_004cc7f0,render,C2
0x004cc9f0,recall-gap,0,1,14,,RwFreeListDestroy,render,C2
0x004cd070,recall-gap,0,1,11,,RwRenderPrimitiveSubmit,render,C2
0x004d4f00,recall-gap,0,1,2,,FUN_004d4f00,render,C2
0x004d53b0,recall-gap,0,1,10,,FUN_004d53b0,render,C2
0x004d5480,recall-gap,0,1,10,,FUN_004d5480,render,C2
0x004f0c10,recall-gap,0,1,7,,FUN_004f0c10,render,C2
0x004f0f10,recall-gap,0,1,2,,FUN_004f0f10,render,C2
0x004f3e90,recall-gap,0,1,3,,FUN_004f3e90,render,C2
0x0051d800,recall-gap,0,1,2,,FUN_0051d800,util,C2
0x00520870,recall-gap,0,1,2,,FUN_00520870,util,C2
0x00528e30,recall-gap,0,1,2,,FUN_00528e30,util,C2
0x00546b10,recall-gap,0,1,6,,FUN_00546b10,vehicle,C2
0x00550430,recall-gap,0,1,3,,FUN_00550430,util,C2
0x00550b00,recall-gap,0,1,3,,VfsFileExists,save,C4
0x005a7520,recall-gap,0,1,2,,FUN_005a7520,audio,C2
0x005a9d00,recall-gap,0,1,3,,FUN_005a9d00,audio,C2
0x005ab040,recall-gap,0,1,5,,FUN_005ab040,util,C2
0x005aba20,recall-gap,0,1,3,,FUN_005aba20,audio,C2
0x005abcf0,recall-gap,0,1,3,,FUN_005abcf0,audio,C2
0x005abd30,recall-gap,0,1,2,,FUN_005abd30,audio,C2
0x005acaa0,recall-gap,0,1,2,,FUN_005acaa0,audio,C2
0x005ad320,recall-gap,0,1,2,,FUN_005ad320,audio,C2
0x005ad5f0,recall-gap,0,1,7,,FUN_005ad5f0,audio,C2
0x005aea50,recall-gap,0,1,3,,FUN_005aea50,audio,C2
0x005af860,recall-gap,0,1,2,,FUN_005af860,audio,C2
0x005b0a90,recall-gap,0,1,4,,FUN_005b0a90,audio,C2
0x005b0b10,recall-gap,0,1,3,,FUN_005b0b10,audio,C2
0x005b0b40,recall-gap,0,1,3,,FUN_005b0b40,audio,C2
0x005b4150,recall-gap,0,1,3,,FUN_005b4150,audio,C2
0x005c31d0,recall-gap,0,1,2,,FUN_005c31d0,boot,C2
0x005c4bb0,recall-gap,0,1,6,,FUN_005c4bb0,boot,C2
